"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Marketing_Airline_Network","Operated_or_Branded_Code_Share_Partners","DOT_ID_Marketing_Airline","IATA_Code_Marketing_Airline","Flight_Number_Marketing_Airline","Originally_Scheduled_Code_Share_Airline","DOT_ID_Originally_Scheduled_Code_Share_Airline","IATA_Code_Originally_Scheduled_Code_Share_Airline","Flight_Num_Originally_Scheduled_Code_Share_Airline","Operating_Airline","DOT_ID_Operating_Airline","IATA_Code_Operating_Airline","Tail_Number","Flight_Number_Operating_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum","Duplicate",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1588","",,"","","DL",19790,"DL","N814DN","1588",10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0701","0656",-5.00,0.00,0.00,-1,"0700-0759",18.00,"0714","0853",6.00,"0910","0859",-11.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,69.00,63.00,39.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1589","",,"","","DL",19790,"DL","N352DN","1589",10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,"1235","1234",-1.00,0.00,0.00,-1,"1200-1259",11.00,"1245","1349",6.00,"1401","1355",-6.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,86.00,81.00,64.00,1.00,432.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1589","",,"","","DL",19790,"DL","N352DN","1589",12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1511","1504",-7.00,0.00,0.00,-1,"1500-1559",11.00,"1515","1624",6.00,"1643","1630",-13.00,0.00,0.00,-1,"1600-1659",0.00,"",0.00,92.00,86.00,69.00,1.00,432.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1590","",,"","","DL",19790,"DL","N3769L","1590",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,"1826","1823",-3.00,0.00,0.00,-1,"1800-1859",17.00,"1840","2036",11.00,"2112","2047",-25.00,0.00,0.00,-2,"2100-2159",0.00,"",0.00,286.00,264.00,236.00,1.00,1620.00,7,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1591","",,"","","DL",19790,"DL","N964AT","1591",10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"0820","0816",-4.00,0.00,0.00,-1,"0800-0859",16.00,"0832","0909",3.00,"0922","0912",-10.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,62.00,56.00,37.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1591","",,"","","DL",19790,"DL","N964AT","1591",14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1022","1013",-9.00,0.00,0.00,-1,"1000-1059",11.00,"1024","1108",7.00,"1132","1115",-17.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,70.00,62.00,44.00,1.00,214.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1592","",,"","","DL",19790,"DL","N934AT","1592",15919,1591904,31834,"XNA","Fayetteville, AR","AR","05","Arkansas",71,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0600","0557",-3.00,0.00,0.00,-1,"0600-0659",12.00,"0609","0825",5.00,"0903","0830",-33.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,123.00,93.00,76.00,1.00,589.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1593","",,"","","DL",19790,"DL","N338DN","1593",14683,1468305,33214,"SAT","San Antonio, TX","TX","48","Texas",74,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0700","0656",-4.00,0.00,0.00,-1,"0700-0759",12.00,"0708","0955",27.00,"1014","1022",8.00,8.00,0.00,0,"1000-1059",0.00,"",0.00,134.00,146.00,107.00,1.00,874.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1594","",,"","","DL",19790,"DL","N912DU","1594",15304,1530402,33195,"TPA","Tampa, FL","FL","12","Florida",33,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1815","1810",-5.00,0.00,0.00,-1,"1800-1859",11.00,"1821","2026",6.00,"2102","2032",-30.00,0.00,0.00,-2,"2100-2159",0.00,"",0.00,167.00,142.00,125.00,1.00,983.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1595","",,"","","DL",19790,"DL","N359NB","1595",14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,"0955","1046",51.00,51.00,1.00,3,"0900-0959",14.00,"1100","1156",18.00,"1134","1214",40.00,40.00,1.00,2,"1100-1159",0.00,"",0.00,99.00,88.00,56.00,1.00,391.00,2,2.00,0.00,0.00,0.00,38.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1596","",,"","","DL",19790,"DL","N107DU","1596",14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,"2105","2101",-4.00,0.00,0.00,-1,"2100-2159",16.00,"2117","2210",24.00,"2238","2234",-4.00,0.00,0.00,-1,"2200-2259",0.00,"",0.00,93.00,93.00,53.00,1.00,391.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1597","",,"","","DL",19790,"DL","N364NW","1597",10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,"2055","2058",3.00,3.00,0.00,0,"2000-2059",15.00,"2113","2222",8.00,"2223","2230",7.00,7.00,0.00,0,"2200-2259",0.00,"",0.00,88.00,92.00,69.00,1.00,432.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1598","",,"","","DL",19790,"DL","N345DN","1598",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,"1359","1530",91.00,91.00,1.00,6,"1300-1359",17.00,"1547","1850",8.00,"1715","1858",103.00,103.00,1.00,6,"1700-1759",0.00,"",0.00,196.00,208.00,183.00,1.00,1076.00,5,91.00,0.00,12.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1599","",,"","","DL",19790,"DL","N830DN","1599",10529,1052906,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0603","0600",-3.00,0.00,0.00,-1,"0600-0659",17.00,"0617","0844",13.00,"0849","0857",8.00,8.00,0.00,0,"0800-0859",0.00,"",0.00,166.00,177.00,147.00,1.00,859.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1600","",,"","","DL",19790,"DL","N658DL","1600",12451,1245102,31136,"JAX","Jacksonville, FL","FL","12","Florida",33,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0700","0654",-6.00,0.00,0.00,-1,"0700-0759",13.00,"0707","0753",4.00,"0817","0757",-20.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,77.00,63.00,46.00,1.00,270.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1601","",,"","","DL",19790,"DL","N392DA","1601",10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,14635,1463502,31714,"RSW","Fort Myers, FL","FL","12","Florida",33,"1516","1513",-3.00,0.00,0.00,-1,"1500-1559",15.00,"1528","1848",5.00,"1857","1853",-4.00,0.00,0.00,-1,"1800-1859",0.00,"",0.00,221.00,220.00,200.00,1.00,1249.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1601","",,"","","DL",19790,"DL","N392DA","1601",14635,1463502,31714,"RSW","Fort Myers, FL","FL","12","Florida",33,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,"1959","1954",-5.00,0.00,0.00,-1,"1900-1959",13.00,"2007","2231",5.00,"2305","2236",-29.00,0.00,0.00,-2,"2300-2359",0.00,"",0.00,186.00,162.00,144.00,1.00,1249.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1602","",,"","","DL",19790,"DL","N918DU","1602",14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"2300","2324",24.00,24.00,1.00,1,"2300-2359",18.00,"2342","0601",9.00,"0614","0610",-4.00,0.00,0.00,-1,"0600-0659",0.00,"",0.00,254.00,226.00,199.00,1.00,1927.00,8,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1603","",,"","","DL",19790,"DL","N927AT","1603",13230,1323002,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0605","0602",-3.00,0.00,0.00,-1,"0600-0659",53.00,"0655","0846",5.00,"0808","0851",43.00,43.00,1.00,2,"0800-0859",0.00,"",0.00,123.00,169.00,111.00,1.00,620.00,3,0.00,0.00,43.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1604","",,"","","DL",19790,"DL","N305DN","1604",13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,"2028","2030",2.00,2.00,0.00,0,"2000-2059",15.00,"2045","2313",4.00,"2350","2317",-33.00,0.00,0.00,-2,"2300-2359",0.00,"",0.00,202.00,167.00,148.00,1.00,1258.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1605","",,"","","DL",19790,"DL","N998AT","1605",11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,"2120","",,,,,"2100-2159",,"","",,"2216","",,,,,"2200-2259",1.00,"B",0.00,116.00,,,1.00,456.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1606","",,"","","DL",19790,"DL","N371DN","1606",14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1646","1641",-5.00,0.00,0.00,-1,"1600-1659",7.00,"1648","1815",6.00,"1845","1821",-24.00,0.00,0.00,-2,"1800-1859",0.00,"",0.00,119.00,100.00,87.00,1.00,526.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1607","",,"","","DL",19790,"DL","N171DN","1607",13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida",33,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1840","1838",-2.00,0.00,0.00,-1,"1800-1859",19.00,"1857","1958",9.00,"2015","2007",-8.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,95.00,89.00,61.00,1.00,404.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1608","",,"","","DL",19790,"DL","N331NB","1608",14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,12954,1295407,32575,"LGB","Long Beach, CA","CA","06","California",91,"2045","2039",-6.00,0.00,0.00,-1,"2000-2059",15.00,"2054","2120",4.00,"2145","2124",-21.00,0.00,0.00,-2,"2100-2159",0.00,"",0.00,120.00,105.00,86.00,1.00,588.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1610","",,"","","DL",19790,"DL","N853DN","1610",14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,"0805","0804",-1.00,0.00,0.00,-1,"0800-0859",18.00,"0822","0818",5.00,"0842","0823",-19.00,0.00,0.00,-2,"0800-0859",0.00,"",0.00,97.00,79.00,56.00,1.00,368.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1611","",,"","","DL",19790,"DL","N991AT","1611",10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,"1223","1219",-4.00,0.00,0.00,-1,"1200-1259",15.00,"1234","1316",5.00,"1332","1321",-11.00,0.00,0.00,-1,"1300-1359",0.00,"",0.00,69.00,62.00,42.00,1.00,226.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1611","",,"","","DL",19790,"DL","N991AT","1611",11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1427","1424",-3.00,0.00,0.00,-1,"1400-1459",14.00,"1438","1527",8.00,"1544","1535",-9.00,0.00,0.00,-1,"1500-1559",0.00,"",0.00,77.00,71.00,49.00,1.00,226.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
2022,1,1,6,4,2022-01-06,"DL","DL",19790,"DL","1612","",,"","","DL",19790,"DL","N926AT","1612",10868,1086803,30868,"CAE","Columbia, SC","SC","45","South Carolina",37,10397,1039707,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0531","0525",-6.00,0.00,0.00,-1,"0001-0559",11.00,"0536","0615",6.00,"0640","0621",-19.00,0.00,0.00,-2,"0600-0659",0.00,"",0.00,69.00,56.00,39.00,1.00,192.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","N",
